logFC	logCPM	LR	PValue	FDR
AT3G63350	-1.70703696301391	1.57387184794167	26.6296185824928	2.4643673888231e-07	0.0026329283843888
AT3G51680	-1.16819880449049	3.16406117918351	26.0362961644353	3.35058633615601e-07	0.0026329283843888
AT3G14540	-1.58441388859465	1.93913272599105	25.718100892417	3.95103830642197e-07	0.0026329283843888
AT2G41450	-1.396226092461	4.90296769121697	25.3988017193494	4.66207616648027e-07	0.0026329283843888
AT5G11140	-1.46618038294976	3.69845305744969	25.258518283948	5.01376468063526e-07	0.0026329283843888
AT2G36950	-1.16825323036657	7.40129989215986	24.8679838169244	6.13936184820687e-07	0.0026866870674728
AT5G48110	-1.56132610789228	4.85509557321369	24.0550190304742	9.3621911556423e-07	0.00351175790248143
AT3G46613	-2.08649463814906	-1.26618433631238	23.5005385421691	1.24878806830684e-06	0.00409867853869159
AT3G02480	-1.34797558690157	0.940091510092643	22.2238370484711	2.42642590109524e-06	0.00707896276500641
AT1G76640	-0.94880642101752	6.13947591808023	21.9231588135634	2.83788415964107e-06	0.00737157130336526
AT1G28660	0.936906699093574	5.19009106457367	21.7609538349824	3.08821587908054e-06	0.00737157130336526
AT5G58680	-0.831133587373716	5.48559372972014	20.9618742532979	4.68514836031336e-06	0.00911015809366111
AT2G20605	3.53342177239465	-3.85879355723449	20.8255469462352	5.03074238400664e-06	0.00911015809366111
AT4G25410	-1.35376267060969	2.51853041675046	20.8209118957997	5.04293182470164e-06	0.00911015809366111
AT5G35550	3.35927805459728	-3.991551553853	20.6522617787264	5.5072091016664e-06	0.00911015809366111
AT2G41460	-0.908090146815366	4.65229800641947	20.6369675055804	5.55137789917271e-06	0.00911015809366111
AT1G58050	-2.13696582927884	-2.56874740221859	20.2965193081632	6.63211250246697e-06	0.0102434928221927
AT3G13280	-1.29032574172702	1.91575037359161	19.8089952110908	8.55789867197675e-06	0.0124835969683385
AT5G43380	-0.787464652683401	5.09947645273656	19.4656168387042	1.02426932397521e-05	0.0141259228618288
AT1G16400	1.3340523524314	1.94721153374402	19.3715630652382	1.07597386310917e-05	0.0141259228618288
AT3G24310	-1.38455534392746	2.95203349699279	19.2144093343881	1.16828211270296e-05	0.0144447664557632
AT4G21323	-1.15253519811645	2.27183373250957	19.0734618942145	1.25781835001617e-05	0.0144447664557632
AT3G17270	-3.65662218325142	-4.08404760305333	19.0621453091849	1.26529926679572e-05	0.0144447664557632
AT1G32970	-0.904454010141706	4.03956607764177	18.9477040168003	1.34350863222672e-05	0.0146985442318238
AT1G07657	-1.19593119554326	1.31580308307257	18.7859043260075	1.46243991076305e-05	0.0153597138947622
AT1G23160	-1.44489025967419	2.45587701933544	18.5965921430255	1.61509010150789e-05	0.0157274025881023
AT1G77885	-1.05963632761214	5.45923968220648	18.5940510160446	1.61724442959501e-05	0.0157274025881023
AT4G24170	-0.925425592134391	6.14789944438868	18.1310216566753	2.06214382466203e-05	0.0193377537157682
AT3G20840	-1.07796680882318	2.46017038307287	18.0129435409595	2.19408065669077e-05	0.0195229971642409
AT1G27670	-1.07087292942906	2.62950889457737	17.9612233827869	2.25451134595567e-05	0.0195229971642409
AT5G37990	-0.793104367621239	5.62703727062002	17.9191035676905	2.30495834288559e-05	0.0195229971642409
AT1G04720	-2.78067073624594	-3.98507177919001	17.7983289256933	2.45598852375767e-05	0.0201521533338453
AT4G37840	-2.63187796275342	-3.62993184857281	17.6517013086679	2.65277876906054e-05	0.021107276405825
AT5G20240	-1.3681116054228	6.51716066342025	17.3785911285458	3.06256238993091e-05	0.0231884832959212
AT5G03355	0.897981515549442	2.76816858572446	17.3610409311012	3.09097351318598e-05	0.0231884832959212
AT5G51470	-1.05149552694967	2.35499240405256	17.0716391607398	3.59958569206277e-05	0.0259049043670682
AT2G27120	-1.99997990354622	-1.34732719452054	17.0191148898876	3.70053986467354e-05	0.0259049043670682
AT5G65165	-1.0998606824824	1.30901977253839	16.9573588445742	3.82288482613383e-05	0.0259049043670682
AT1G44318	-1.21201454462804	2.13504759766013	16.9429165606531	3.8520782315114e-05	0.0259049043670682
AT1G69530	1.30876846787712	5.81321518182002	16.897013892604	3.94636163568849e-05	0.0259049043670682
AT4G28420	-1.17153046083777	1.02810527674962	16.7876041614246	4.18055005728652e-05	0.0264954366669617
AT5G26290	-0.963468435516544	4.79872507700063	16.7616432168851	4.23813969612824e-05	0.0264954366669617
AT1G09530	0.863022388719558	5.24879813801629	16.7067781118151	4.36248557059975e-05	0.0266385543319157
AT2G40340	-0.901748057325862	4.71693114440705	16.5015289969084	4.86108576547121e-05	0.0290085293054494
AT1G09110	-1.80600399916329	-2.33970052462435	16.4237731976701	5.06460463450243e-05	0.0295514053084734
AT5G07480	-2.90584137927117	-2.7790748968228	16.1193794200172	5.94723417280074e-05	0.0329189458634212
AT5G63350	-0.935953551760298	2.09896644313895	16.0974896058399	6.01637360746456e-05	0.0329189458634212
AT1G65390	-1.06950287987094	8.01942431313111	16.0970219093192	6.01785962388778e-05	0.0329189458634212
AT5G45870	3.00029950690787	-4.01195886895713	16.0316590381706	6.22921070965744e-05	0.0333796705313215
AT2G47770	-1.36613671060922	1.28688098749283	15.9628189060611	6.45988399920796e-05	0.0339234348334407
AT1G20470	-1.19403348100523	0.645884718671611	15.8529068722948	6.84612913513807e-05	0.0352468260198667
AT1G73120	-1.86083324324604	3.58440476304197	15.7750259108281	7.13379811452884e-05	0.0360215648256122
AT1G47130	-1.13414652051313	4.89155983782325	15.7344907504551	7.2883030125926e-05	0.0361073532455932
AT2G21820	-1.56121410767084	-0.767119830129529	15.5628754702721	7.98062902163682e-05	0.0388050696705774
AT2G23800	-1.13199082714197	3.59995235330077	15.5086199613339	8.21298736499517e-05	0.039208801680487
AT4G18680	-2.13973732077022	-3.13520630312284	15.4380464708026	8.52544693785392e-05	0.0394420266908963
AT5G24110	-0.794967010614767	4.5780905798254	15.3525013135557	8.92027531658084e-05	0.0394420266908963
AT1G02205	-1.00580601962956	1.89300278470526	15.3280306888525	9.03656611068446e-05	0.0394420266908963
AT2G47780	-1.33560096763328	0.823090122217793	15.3205131427789	9.0725968493531e-05	0.0394420266908963
AT5G56325	-2.52037912967951	-3.70664020544197	15.3159559514617	9.09450928778393e-05	0.0394420266908963
AT2G24340	-2.35421591873715	-3.70832455155013	15.2840229342518	9.24955481295654e-05	0.0394420266908963
AT5G66660	-1.1972332043008	0.417692907186238	15.2710403710233	9.31334750670515e-05	0.0394420266908963
